raceId,year,round,date,race_name,constructorId,constructorRef,team,team_points,best_finish,win,podium,best_grid_position,pole_position
1052,2021,1,2021-03-28,Bahrain Grand Prix,51,alfa,Alfa Romeo,0.0,11,0,0,12,0
1052,2021,1,2021-03-28,Bahrain Grand Prix,213,alphatauri,AlphaTauri,2.0,9,0,0,5,0
1052,2021,1,2021-03-28,Bahrain Grand Prix,214,alpine,Alpine F1 Team,0.0,13,0,0,9,0
1052,2021,1,2021-03-28,Bahrain Grand Prix,117,aston_martin,Aston Martin,1.0,10,0,0,10,0
1052,2021,1,2021-03-28,Bahrain Grand Prix,6,ferrari,Ferrari,12.0,6,0,0,4,0
1052,2021,1,2021-03-28,Bahrain Grand Prix,210,haas,Haas F1 Team,0.0,16,0,0,19,0
1052,2021,1,2021-03-28,Bahrain Grand Prix,1,mclaren,McLaren,18.0,4,0,0,6,0
1052,2021,1,2021-03-28,Bahrain Grand Prix,131,mercedes,Mercedes,41.0,1,1,1,2,0
1052,2021,1,2021-03-28,Bahrain Grand Prix,9,red_bull,Red Bull,28.0,2,0,1,1,1
1052,2021,1,2021-03-28,Bahrain Grand Prix,3,williams,Williams,0.0,14,0,0,15,0
1053,2021,2,2021-04-18,Emilia Romagna Grand Prix,51,alfa,Alfa Romeo,0.0,13,0,0,16,0
1053,2021,2,2021-04-18,Emilia Romagna Grand Prix,213,alphatauri,AlphaTauri,6.0,7,0,0,5,0
1053,2021,2,2021-04-18,Emilia Romagna Grand Prix,214,alpine,Alpine F1 Team,3.0,9,0,0,9,0
1053,2021,2,2021-04-18,Emilia Romagna Grand Prix,117,aston_martin,Aston Martin,4.0,8,0,0,10,0
1053,2021,2,2021-04-18,Emilia Romagna Grand Prix,6,ferrari,Ferrari,22.0,4,0,0,4,0
1053,2021,2,2021-04-18,Emilia Romagna Grand Prix,210,haas,Haas F1 Team,0.0,16,0,0,18,0
1053,2021,2,2021-04-18,Emilia Romagna Grand Prix,1,mclaren,McLaren,23.0,3,0,1,6,0
1053,2021,2,2021-04-18,Emilia Romagna Grand Prix,131,mercedes,Mercedes,19.0,2,0,1,1,1
1053,2021,2,2021-04-18,Emilia Romagna Grand Prix,9,red_bull,Red Bull,25.0,1,1,1,2,0
1053,2021,2,2021-04-18,Emilia Romagna Grand Prix,3,williams,Williams,0.0,19,0,0,12,0
1054,2021,3,2021-05-02,Portuguese Grand Prix,51,alfa,Alfa Romeo,0.0,12,0,0,12,0
1054,2021,3,2021-05-02,Portuguese Grand Prix,213,alphatauri,AlphaTauri,1.0,10,0,0,9,0
1054,2021,3,2021-05-02,Portuguese Grand Prix,214,alpine,Alpine F1 Team,10.0,7,0,0,6,0
1054,2021,3,2021-05-02,Portuguese Grand Prix,117,aston_martin,Aston Martin,0.0,13,0,0,10,0
1054,2021,3,2021-05-02,Portuguese Grand Prix,6,ferrari,Ferrari,8.0,6,0,0,5,0
1054,2021,3,2021-05-02,Portuguese Grand Prix,210,haas,Haas F1 Team,0.0,17,0,0,19,0
1054,2021,3,2021-05-02,Portuguese Grand Prix,1,mclaren,McLaren,12.0,5,0,0,7,0
1054,2021,3,2021-05-02,Portuguese Grand Prix,131,mercedes,Mercedes,41.0,1,1,1,1,1
1054,2021,3,2021-05-02,Portuguese Grand Prix,9,red_bull,Red Bull,30.0,2,0,1,3,0
1054,2021,3,2021-05-02,Portuguese Grand Prix,3,williams,Williams,0.0,16,0,0,11,0
1055,2021,4,2021-05-09,Spanish Grand Prix,51,alfa,Alfa Romeo,0.0,12,0,0,14,0
1055,2021,4,2021-05-09,Spanish Grand Prix,213,alphatauri,AlphaTauri,1.0,10,0,0,12,0
1055,2021,4,2021-05-09,Spanish Grand Prix,214,alpine,Alpine F1 Team,2.0,9,0,0,5,0
1055,2021,4,2021-05-09,Spanish Grand Prix,117,aston_martin,Aston Martin,0.0,11,0,0,11,0
1055,2021,4,2021-05-09,Spanish Grand Prix,6,ferrari,Ferrari,18.0,4,0,0,4,0
1055,2021,4,2021-05-09,Spanish Grand Prix,210,haas,Haas F1 Team,0.0,18,0,0,18,0
1055,2021,4,2021-05-09,Spanish Grand Prix,1,mclaren,McLaren,12.0,6,0,0,7,0
1055,2021,4,2021-05-09,Spanish Grand Prix,131,mercedes,Mercedes,40.0,1,1,1,1,1
1055,2021,4,2021-05-09,Spanish Grand Prix,9,red_bull,Red Bull,29.0,2,0,1,2,0
1055,2021,4,2021-05-09,Spanish Grand Prix,3,williams,Williams,0.0,14,0,0,15,0
1056,2021,5,2021-05-23,Monaco Grand Prix,51,alfa,Alfa Romeo,1.0,10,0,0,10,0
1056,2021,5,2021-05-23,Monaco Grand Prix,213,alphatauri,AlphaTauri,8.0,6,0,0,6,0
1056,2021,5,2021-05-23,Monaco Grand Prix,214,alpine,Alpine F1 Team,2.0,9,0,0,11,0
1056,2021,5,2021-05-23,Monaco Grand Prix,117,aston_martin,Aston Martin,14.0,5,0,0,8,0
1056,2021,5,2021-05-23,Monaco Grand Prix,6,ferrari,Ferrari,18.0,2,0,1,1,1
1056,2021,5,2021-05-23,Monaco Grand Prix,210,haas,Haas F1 Team,0.0,17,0,0,19,0
